url,address,avg_price,business_id,businesss_name,comment_counts,cuisine,five_starts_count,four_starts_count,lat,lng,one_start_count,region,shopEnvironment,shopService,shopTaste,starts_avg,three_starts_count,two_starts_count,...
http://www.dianping.com/shop/9056199,渣家路2号,20,9056199,"
紫燕百味鸡(江汉路直营店)
",703,卤味,526,137,30.58684,586842999,3,江岸区,8.4,8.5,8.6,4,35,2,{}
http://www.dianping.com/shop/6425494,鹦鹉大道530号前进综合市场1号,24,6425494,"
紫燕百味鸡(鹦鹉店)
",361,卤味,264,65,30.52112,114.25329,1,汉阳区,8.4,8.3,8.5,4,28,3,{}
http://www.dianping.com/shop/18274467,南湖综合生鲜市场1楼一号铺,21,18274467,"
紫燕百味鸡(保利店)
",299,卤味,229,46,30.49368,114.32539,1,江岸区,8.3,8.4,8.4,4,20,3,{}
http://www.dianping.com/shop/19012195,汉施公路武湖正街“良品铺子”,44,19012195,"
良品铺子(武湖一店)
",25,小吃快餐,20,3,30.69854,114.42331,1,黄陂区,7.4,7.4,7.4,3,0,1,{}
http://www.dianping.com/shop/20952087,珞珈山街瑜家小馆旁,17,20952087,"
甲一糖水









添加分店
",305,面包甜点,145,115,30.58685,114.29923,2,江岸区,8.0,8.4,8.1,4,40,3,{}
http://www.dianping.com/shop/24032784,火塔线长堰胜天村罗生港(胜天农庄，木兰玫瑰园旁),51,24032784,"
老队长农家饭
",27,湖北菜,19,4,31.02637,114.44546,2,黄陂区,7.2,7.3,7.4,3,1,1,{}
http://www.dianping.com/shop/45325255,黄陂大道387号黄陂广场2层(中百百货背后),36,45325255,"
玉林串串香(黄陂广场店)









添加分店
",25,火锅,13,6,30.87999,114.37628,1,黄陂区,7.2,7.3,7.1,3,5,0,{}
http://www.dianping.com/shop/23241764,向阳大街324号,30,23241764,"
江南烤虾









添加分店
",1,川菜,0,1,30.87478,114.36850,0,黄陂区,7.0,7.0,7.0,3,0,0,{}
http://www.dianping.com/shop/69961004,盘龙大道51号百联奥特莱斯广场1层,15,69961004,"
蘭芳園(百联奥特莱斯广场店)









添加分店
",25,面包甜点,13,6,30.73099,114.25647,0,黄陂区,7.6,7.3,7.5,3,4,2,{}
http://www.dianping.com/shop/66757516,汉施路阳逻武湖新市场1栋19室,30,66757516,"
源记食尚坊









添加分店
",1,小吃快餐,1,0,30.71385,114.53261,0,新洲区,7.2,7.2,7.2,3,0,0,{}
